category_id,parent_id,category_name,category_description,icon,image_path,active,created_at,updated_at
15,,Cloned didactic paradigm,Work executive air local at economy cold me reach benefit.,window.png,/thus/traditional.jpg,TRUE,2023-05-29T00:25:29,2022-07-26T10:54:51
16,,Pre-emptive global portal,Check expect likely agree best hour message various financial book system evening maintain few group long southern go receive.,feeling.png,/course/school.jpg,FALSE,2020-06-13T12:46:38,2022-05-28T18:36:00
17,,Enhanced composite approach,Strategy chance room however born certainly ahead scientist control address charge option century throw player.,wish.png,/friend/general.jpg,FALSE,2020-05-28T04:10:01,2021-07-24T03:03:50
18,,Multi-lateral attitude-oriented interface,Scene glass its management effort call arm likely more father behind drop suggest left lead pass yes become organization kind.,approach.png,/team/eat.jpg,TRUE,2020-07-06T15:24:36,2020-10-27T17:15:18
19,,Enhanced asymmetric encryption,Must spring economic reach choose forward produce suffer name million present sit too.,too.png,/explain/lot.jpg,TRUE,2020-07-27T08:08:47,2020-06-16T07:02:03
20,,Sharable foreground toolset,Late though soldier stop night police country energy onto student others.,cause.png,/through/later.jpg,TRUE,2023-07-15T20:00:53,2022-10-25T06:52:11
21,,Ergonomic multimedia migration,History morning cultural save note couple foreign collection sure something card source lead Democrat effort language body.,ok.png,/interesting/nice.jpg,TRUE,2020-09-04T05:14:50,2020-05-09T21:23:12
22,,Focused impactful projection,Republican cold list break huge government like hard suffer capital add wind plan accept choose.,own.png,/west/head.jpg,FALSE,2022-08-27T10:28:22,2022-07-18T15:41:01
23,,Distributed full-range focus group,Wide success head speak send have central imagine look ok into food speech.,party.png,/individual/let.jpg,FALSE,2023-04-28T00:38:42,2022-02-01T10:53:18
24,,Front-line actuating hierarchy,Threat final but quality fear me girl require address dinner place person dream air night able program help.,show.png,/least/effort.jpg,TRUE,2023-01-05T07:19:23,2020-02-12T07:37:56
25,,Ameliorated 3rdgeneration success,Production character control company budget piece difference serious small trouble west.,argue.png,/however/since.jpg,FALSE,2021-01-04T14:33:50,2021-05-30T11:47:57
26,,Advanced clear-thinking synergy,Finally cold but trade quite central particularly series participant wide occur must space it.,respond.png,/ask/long.jpg,TRUE,2021-02-01T01:35:57,2021-12-17T05:04:29
27,,Multi-channeled 4thgeneration groupware,Well avoid southern imagine billion increase care play sea sit size.,lay.png,/camera/their.jpg,FALSE,2023-01-26T04:14:02,2021-07-09T16:33:50
28,,Implemented uniform migration,Coach nice hit strategy them risk president sister art environment land your sign important however small fall knowledge.,who.png,/share/fall.jpg,FALSE,2022-12-24T18:35:06,2020-09-22T23:24:33
29,,Innovative optimal standardization,Dog experience world difficult firm toward energy minute little beautiful section catch spend today.,difference.png,/memory/foot.jpg,TRUE,2021-02-26T22:33:58,2022-10-06T14:58:10
30,,Exclusive composite workforce,Onto develop cold grow financial beyond travel local strong language born pay check into level high.,husband.png,/if/speech.jpg,TRUE,2020-07-03T07:31:15,2020-03-20T20:01:05
31,,Total national Internet solution,Scientist send picture mission owner she peace senior available.,great.png,/although/down.jpg,TRUE,2021-05-04T14:11:49,2020-11-26T22:07:01
32,,Persistent secondary circuit,Guess amount small knowledge knowledge week though create drop.,least.png,/action/next.jpg,TRUE,2020-08-22T13:05:29,2020-05-29T07:23:57
33,,Managed contextually-based matrices,Foreign specific program indeed learn health his win decade including top executive old rather spend.,reduce.png,/six/site.jpg,FALSE,2020-05-03T05:06:51,2020-05-02T10:07:52
34,,Multi-lateral well-modulated architecture,Young and vote put debate follow attack those mind body stuff economic some.,service.png,/charge/training.jpg,TRUE,2020-06-25T11:11:58,2021-08-08T10:51:26
35,,Profit-focused fresh-thinking emulation,Know radio will never of young design service leader.,current.png,/through/order.jpg,TRUE,2022-10-13T17:53:12,2020-06-14T11:37:56
36,,Integrated discrete support,Season day represent economic color around production try administration accept word reality fund control.,under.png,/once/artist.jpg,FALSE,2021-04-13T17:53:31,2021-07-16T17:05:46
37,,Grass-roots 5thgeneration budgetary management,Space better protect adult admit let determine suggest TV nation easy inside coach rock fight brother end allow writer.,society.png,/run/drug.jpg,FALSE,2023-04-07T00:23:55,2022-08-24T11:09:09
38,,Business-focused full-range encryption,Speech item trip beyond account option discover appear project health drop page figure hour anything avoid he this different system whom.,body.png,/bill/finish.jpg,FALSE,2022-04-17T17:41:39,2021-09-08T23:05:23
39,,Adaptive national synergy,Box society culture practice agree role any such also Mr week girl poor city agency.,turn.png,/mention/important.jpg,TRUE,2021-11-10T13:36:34,2021-01-12T00:59:02
40,,Self-enabling interactive function,Lay particular our seven short yeah them effort where thought community.,expect.png,/step/ok.jpg,TRUE,2021-10-17T23:45:02,2023-05-25T07:36:21
41,,Total static concept,Mrs my listen kid area compare newspaper huge production owner child step.,usually.png,/bank/pull.jpg,TRUE,2023-03-22T17:23:58,2022-06-03T03:31:34
42,,Ergonomic reciprocal approach,Car election cause difference social purpose hit decision evidence road just figure summer political suddenly.,eye.png,/several/life.jpg,FALSE,2020-06-13T12:41:22,2020-01-08T23:32:36
43,,Balanced content-based framework,Character degree support entire until parent begin special moment manage special all summer activity he you customer government.,customer.png,/anyone/participant.jpg,TRUE,2022-12-23T02:38:41,2021-11-27T07:26:35
44,,Re-contextualized empowering secured line,Machine article very debate minute week receive good adult attack job analysis itself who in finish.,yes.png,/out/staff.jpg,TRUE,2023-01-29T13:51:58,2022-05-02T03:00:43
